schno,school,span,group,domain,construct,favorability,count
0,District,Elementary,Filipino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",76,
0,District,Elementary,Filipino,Culture/Climate,Safety,58,
0,District,Elementary,Filipino,Culture/Climate,Sense of Belonging (School Connectedness),78,
0,District,Elementary,Filipino,Social-Emotional Learning,Growth Mindset,62,
0,District,Elementary,Filipino,Social-Emotional Learning,Self-Efficacy,56,
0,District,Elementary,Filipino,Social-Emotional Learning,Self-Management,76,
0,District,Elementary,Filipino,Social-Emotional Learning,Social Awareness,69,
0,District,Elementary,Hispanic/Latino,Culture/Climate,Climate of Support for Academic Learning,80,
0,District,Elementary,Hispanic/Latino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",75,
0,District,Elementary,Hispanic/Latino,Culture/Climate,Safety,57,
0,District,Elementary,Hispanic/Latino,Culture/Climate,Sense of Belonging (School Connectedness),75,
0,District,Elementary,Hispanic/Latino,Social-Emotional Learning,Growth Mindset,53,
0,District,Elementary,Hispanic/Latino,Social-Emotional Learning,Self-Efficacy,56,
0,District,Elementary,Hispanic/Latino,Social-Emotional Learning,Self-Management,66,
0,District,Elementary,Hispanic/Latino,Social-Emotional Learning,Social Awareness,66,
0,District,Elementary,Low SES,Culture/Climate,Climate of Support for Academic Learning,79,
0,District,Elementary,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",74,
0,District,Elementary,Low SES,Culture/Climate,Safety,55,
0,District,Elementary,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),73,
0,District,Elementary,Low SES,Social-Emotional Learning,Growth Mindset,55,
0,District,Elementary,Low SES,Social-Emotional Learning,Self-Efficacy,53,
0,District,Elementary,Low SES,Social-Emotional Learning,Self-Management,66,
0,District,Elementary,Low SES,Social-Emotional Learning,Social Awareness,63,
0,District,Elementary,Pacific Islander,Culture/Climate,Climate of Support for Academic Learning,78,
0,District,Elementary,Pacific Islander,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",68,
0,District,Elementary,Pacific Islander,Culture/Climate,Safety,55,
0,District,Elementary,Pacific Islander,Culture/Climate,Sense of Belonging (School Connectedness),72,
0,District,Elementary,Pacific Islander,Social-Emotional Learning,Growth Mindset,62,
0,District,Elementary,Pacific Islander,Social-Emotional Learning,Self-Efficacy,58,
0,District,Elementary,Pacific Islander,Social-Emotional Learning,Self-Management,65,
0,District,Elementary,Pacific Islander,Social-Emotional Learning,Social Awareness,64,
0,District,Elementary,SPED,Culture/Climate,Climate of Support for Academic Learning,74,
0,District,Elementary,SPED,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",70,
0,District,Elementary,SPED,Culture/Climate,Safety,52,
0,District,Elementary,SPED,Culture/Climate,Sense of Belonging (School Connectedness),67,
0,District,Elementary,SPED,Social-Emotional Learning,Growth Mindset,50,
0,District,Elementary,SPED,Social-Emotional Learning,Self-Efficacy,46,
0,District,Elementary,SPED,Social-Emotional Learning,Self-Management,56,
0,District,Elementary,SPED,Social-Emotional Learning,Social Awareness,57,
0,District,Elementary,Two or More Races,Culture/Climate,Climate of Support for Academic Learning,83,
0,District,Elementary,Two or More Races,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",76,
0,District,Elementary,Two or More Races,Culture/Climate,Safety,65,
0,District,Elementary,Two or More Races,Culture/Climate,Sense of Belonging (School Connectedness),76,
0,District,Elementary,Two or More Races,Social-Emotional Learning,Growth Mindset,66,
0,District,Elementary,Two or More Races,Social-Emotional Learning,Self-Efficacy,64,
0,District,Elementary,Two or More Races,Social-Emotional Learning,Self-Management,76,
0,District,Elementary,Two or More Races,Social-Emotional Learning,Social Awareness,69,
0,District,Elementary,White,Culture/Climate,Climate of Support for Academic Learning,83,
0,District,Elementary,White,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",78,
0,District,Elementary,White,Culture/Climate,Safety,68,
0,District,Elementary,White,Culture/Climate,Sense of Belonging (School Connectedness),79,
0,District,Elementary,White,Social-Emotional Learning,Growth Mindset,72,
0,District,Elementary,White,Social-Emotional Learning,Self-Efficacy,69,
0,District,Elementary,White,Social-Emotional Learning,Self-Management,81,
0,District,Elementary,White,Social-Emotional Learning,Social Awareness,73,
0,District,High,African American,Culture/Climate,Climate of Support for Academic Learning,65,
0,District,High,African American,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",54,
0,District,High,African American,Culture/Climate,Safety,67,
0,District,High,African American,Culture/Climate,Sense of Belonging (School Connectedness),54,
0,District,High,African American,Social-Emotional Learning,Growth Mindset,61,
0,District,High,African American,Social-Emotional Learning,Self-Efficacy,46,
0,District,High,African American,Social-Emotional Learning,Self-Management,67,
0,District,High,African American,Social-Emotional Learning,Social Awareness,59,
0,District,High,All,Culture/Climate,Climate of Support for Academic Learning,70,
0,District,High,All,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",59,
0,District,High,All,Culture/Climate,Safety,75,
0,District,High,All,Culture/Climate,Sense of Belonging (School Connectedness),60,
0,District,High,All,Social-Emotional Learning,Growth Mindset,64,
0,District,High,All,Social-Emotional Learning,Self-Efficacy,48,
0,District,High,All,Social-Emotional Learning,Self-Management,76,
0,District,High,All,Social-Emotional Learning,Social Awareness,63,
0,District,High,American Indian or Alaskan Native,Culture/Climate,Climate of Support for Academic Learning,59,
0,District,High,American Indian or Alaskan Native,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",53,
0,District,High,American Indian or Alaskan Native,Culture/Climate,Safety,62,
0,District,High,American Indian or Alaskan Native,Culture/Climate,Sense of Belonging (School Connectedness),52,
0,District,High,American Indian or Alaskan Native,Social-Emotional Learning,Growth Mindset,67,
0,District,High,American Indian or Alaskan Native,Social-Emotional Learning,Self-Efficacy,46,
0,District,High,American Indian or Alaskan Native,Social-Emotional Learning,Self-Management,77,
0,District,High,American Indian or Alaskan Native,Social-Emotional Learning,Social Awareness,65,
0,District,High,Asian,Culture/Climate,Climate of Support for Academic Learning,70,
0,District,High,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",59,
0,District,High,Asian,Culture/Climate,Safety,77,
0,District,High,Asian,Culture/Climate,Sense of Belonging (School Connectedness),59,
0,District,High,Asian,Social-Emotional Learning,Growth Mindset,66,
0,District,High,Asian,Social-Emotional Learning,Self-Efficacy,48,
0,District,High,Asian,Social-Emotional Learning,Self-Management,79,
0,District,High,Asian,Social-Emotional Learning,Social Awareness,63,
0,District,High,Decline to State,Culture/Climate,Climate of Support for Academic Learning,72,
0,District,High,Decline to State,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",58,
0,District,High,Decline to State,Culture/Climate,Safety,75,
0,District,High,Decline to State,Culture/Climate,Sense of Belonging (School Connectedness),63,
0,District,High,Decline to State,Social-Emotional Learning,Growth Mindset,66,
0,District,High,Decline to State,Social-Emotional Learning,Self-Efficacy,53,
0,District,High,Decline to State,Social-Emotional Learning,Self-Management,76,
0,District,High,Decline to State,Social-Emotional Learning,Social Awareness,63,
0,District,High,ELL,Culture/Climate,Climate of Support for Academic Learning,77,
0,District,High,ELL,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",66,
0,District,High,ELL,Culture/Climate,Safety,75,
0,District,High,ELL,Culture/Climate,Sense of Belonging (School Connectedness),68,
0,District,High,ELL,Social-Emotional Learning,Growth Mindset,50,
0,District,High,ELL,Social-Emotional Learning,Self-Efficacy,48,
0,District,High,ELL,Social-Emotional Learning,Self-Management,71,
0,District,High,ELL,Social-Emotional Learning,Social Awareness,56,
0,District,High,Filipino,Culture/Climate,Climate of Support for Academic Learning,75,
0,District,High,Filipino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",58,
0,District,High,Filipino,Culture/Climate,Safety,71,
0,District,High,Filipino,Culture/Climate,Sense of Belonging (School Connectedness),59,
0,District,High,Filipino,Social-Emotional Learning,Growth Mindset,64,
0,District,High,Filipino,Social-Emotional Learning,Self-Efficacy,47,
0,District,High,Filipino,Social-Emotional Learning,Self-Management,79,
0,District,High,Filipino,Social-Emotional Learning,Social Awareness,66,
0,District,High,Hispanic/Latino,Culture/Climate,Climate of Support for Academic Learning,73,
0,District,High,Hispanic/Latino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",62,
0,District,High,Hispanic/Latino,Culture/Climate,Safety,74,
0,District,High,Hispanic/Latino,Culture/Climate,Sense of Belonging (School Connectedness),61,
0,District,High,Hispanic/Latino,Social-Emotional Learning,Growth Mindset,56,
0,District,High,Hispanic/Latino,Social-Emotional Learning,Self-Efficacy,44,
0,District,High,Hispanic/Latino,Social-Emotional Learning,Self-Management,72,
0,District,High,Hispanic/Latino,Social-Emotional Learning,Social Awareness,59,
0,District,High,Low SES,Culture/Climate,Climate of Support for Academic Learning,71,
0,District,High,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",60,
0,District,High,Low SES,Culture/Climate,Safety,74,
0,District,High,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),59,
0,District,High,Low SES,Social-Emotional Learning,Growth Mindset,62,
0,District,High,Low SES,Social-Emotional Learning,Self-Efficacy,46,
0,District,High,Low SES,Social-Emotional Learning,Self-Management,75,
0,District,High,Low SES,Social-Emotional Learning,Social Awareness,61,
0,District,High,Pacific Islander,Culture/Climate,Climate of Support for Academic Learning,69,
0,District,High,Pacific Islander,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",56,
0,District,High,Pacific Islander,Culture/Climate,Safety,74,
0,District,High,Pacific Islander,Culture/Climate,Sense of Belonging (School Connectedness),57,
0,District,High,Pacific Islander,Social-Emotional Learning,Growth Mindset,57,
0,District,High,Pacific Islander,Social-Emotional Learning,Self-Efficacy,43,
0,District,High,Pacific Islander,Social-Emotional Learning,Self-Management,68,
0,District,High,Pacific Islander,Social-Emotional Learning,Social Awareness,61,
0,District,High,SPED,Culture/Climate,Climate of Support for Academic Learning,69,
0,District,High,SPED,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",56,
0,District,High,SPED,Culture/Climate,Safety,69,
0,District,High,SPED,Culture/Climate,Sense of Belonging (School Connectedness),57,
0,District,High,SPED,Social-Emotional Learning,Growth Mindset,49,
0,District,High,SPED,Social-Emotional Learning,Self-Efficacy,40,
0,District,High,SPED,Social-Emotional Learning,Self-Management,67,
0,District,High,SPED,Social-Emotional Learning,Social Awareness,55,
0,District,High,Two or More Races,Culture/Climate,Climate of Support for Academic Learning,67,
0,District,High,Two or More Races,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",53,
0,District,High,Two or More Races,Culture/Climate,Safety,75,
0,District,High,Two or More Races,Culture/Climate,Sense of Belonging (School Connectedness),62,
0,District,High,Two or More Races,Social-Emotional Learning,Growth Mindset,70,
0,District,High,Two or More Races,Social-Emotional Learning,Self-Efficacy,46,
0,District,High,Two or More Races,Social-Emotional Learning,Self-Management,77,
0,District,High,Two or More Races,Social-Emotional Learning,Social Awareness,68,
0,District,High,White,Culture/Climate,Climate of Support for Academic Learning,66,
0,District,High,White,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",56,
0,District,High,White,Culture/Climate,Safety,74,
0,District,High,White,Culture/Climate,Sense of Belonging (School Connectedness),65,
0,District,High,White,Social-Emotional Learning,Growth Mindset,74,
0,District,High,White,Social-Emotional Learning,Self-Efficacy,56,
0,District,High,White,Social-Emotional Learning,Self-Management,78,
0,District,High,White,Social-Emotional Learning,Social Awareness,68,
0,District,Middle,African American,Culture/Climate,Climate of Support for Academic Learning,62,
0,District,Middle,African American,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",51,
0,District,Middle,African American,Culture/Climate,Safety,52,
0,District,Middle,African American,Culture/Climate,Sense of Belonging (School Connectedness),52,
0,District,Middle,African American,Social-Emotional Learning,Growth Mindset,57,
0,District,Middle,African American,Social-Emotional Learning,Self-Efficacy,52,
0,District,Middle,African American,Social-Emotional Learning,Self-Management,60,
0,District,Middle,African American,Social-Emotional Learning,Social Awareness,55,
0,District,Middle,All,Culture/Climate,Climate of Support for Academic Learning,70,
0,District,Middle,All,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",60,
0,District,Middle,All,Culture/Climate,Safety,59,
0,District,Middle,All,Culture/Climate,Sense of Belonging (School Connectedness),60,
0,District,Middle,All,Social-Emotional Learning,Growth Mindset,62,
0,District,Middle,All,Social-Emotional Learning,Self-Efficacy,57,
0,District,Middle,All,Social-Emotional Learning,Self-Management,76,
0,District,Middle,All,Social-Emotional Learning,Social Awareness,62,
0,District,Middle,American Indian or Alaskan Native,Culture/Climate,Climate of Support for Academic Learning,65,
0,District,Middle,American Indian or Alaskan Native,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",59,
0,District,Middle,American Indian or Alaskan Native,Culture/Climate,Safety,59,
0,District,Middle,American Indian or Alaskan Native,Culture/Climate,Sense of Belonging (School Connectedness),62,
0,District,Middle,American Indian or Alaskan Native,Social-Emotional Learning,Growth Mindset,70,
0,District,Middle,American Indian or Alaskan Native,Social-Emotional Learning,Self-Efficacy,68,
0,District,Middle,American Indian or Alaskan Native,Social-Emotional Learning,Self-Management,68,
0,District,Middle,American Indian or Alaskan Native,Social-Emotional Learning,Social Awareness,58,
0,District,Middle,Asian,Culture/Climate,Climate of Support for Academic Learning,71,
0,District,Middle,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",62,
0,District,Middle,Asian,Culture/Climate,Safety,60,
0,District,Middle,Asian,Culture/Climate,Sense of Belonging (School Connectedness),60,
0,District,Middle,Asian,Social-Emotional Learning,Growth Mindset,64,
0,District,Middle,Asian,Social-Emotional Learning,Self-Efficacy,59,
0,District,Middle,Asian,Social-Emotional Learning,Self-Management,81,
0,District,Middle,Asian,Social-Emotional Learning,Social Awareness,63,
0,District,Middle,Decline to State,Culture/Climate,Climate of Support for Academic Learning,66,
0,District,Middle,Decline to State,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",59,
0,District,Middle,Decline to State,Culture/Climate,Safety,58,
0,District,Middle,Decline to State,Culture/Climate,Sense of Belonging (School Connectedness),63,
0,District,Middle,Decline to State,Social-Emotional Learning,Growth Mindset,66,
0,District,Middle,Decline to State,Social-Emotional Learning,Self-Efficacy,59,
0,District,Middle,Decline to State,Social-Emotional Learning,Self-Management,78,
0,District,Middle,Decline to State,Social-Emotional Learning,Social Awareness,65,
0,District,Middle,ELL,Culture/Climate,Climate of Support for Academic Learning,71,
0,District,Middle,ELL,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",61,
0,District,Middle,ELL,Culture/Climate,Safety,56,
0,District,Middle,ELL,Culture/Climate,Sense of Belonging (School Connectedness),61,
0,District,Middle,ELL,Social-Emotional Learning,Growth Mindset,40,
0,District,Middle,ELL,Social-Emotional Learning,Self-Efficacy,41,
0,District,Middle,ELL,Social-Emotional Learning,Self-Management,63,
0,District,Middle,ELL,Social-Emotional Learning,Social Awareness,55,
0,District,Middle,Filipino,Culture/Climate,Climate of Support for Academic Learning,74,
0,District,Middle,Filipino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",60,
0,District,Middle,Filipino,Culture/Climate,Safety,56,
0,District,Middle,Filipino,Culture/Climate,Sense of Belonging (School Connectedness),62,
0,District,Middle,Filipino,Social-Emotional Learning,Growth Mindset,62,
0,District,Middle,Filipino,Social-Emotional Learning,Self-Efficacy,59,
0,District,Middle,Filipino,Social-Emotional Learning,Self-Management,77,
0,District,Middle,Filipino,Social-Emotional Learning,Social Awareness,62,
0,District,Middle,Hispanic/Latino,Culture/Climate,Climate of Support for Academic Learning,68,
0,District,Middle,Hispanic/Latino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",58,
0,District,Middle,Hispanic/Latino,Culture/Climate,Safety,58,
0,District,Middle,Hispanic/Latino,Culture/Climate,Sense of Belonging (School Connectedness),58,
0,District,Middle,Hispanic/Latino,Social-Emotional Learning,Growth Mindset,50,
0,District,Middle,Hispanic/Latino,Social-Emotional Learning,Self-Efficacy,46,
0,District,Middle,Hispanic/Latino,Social-Emotional Learning,Self-Management,66,
0,District,Middle,Hispanic/Latino,Social-Emotional Learning,Social Awareness,59,
0,District,Middle,Low SES,Culture/Climate,Climate of Support for Academic Learning,70,
0,District,Middle,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",60,
0,District,Middle,Low SES,Culture/Climate,Safety,58,
0,District,Middle,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),59,
0,District,Middle,Low SES,Social-Emotional Learning,Growth Mindset,56,
0,District,Middle,Low SES,Social-Emotional Learning,Self-Efficacy,51,
0,District,Middle,Low SES,Social-Emotional Learning,Self-Management,72,
0,District,Middle,Low SES,Social-Emotional Learning,Social Awareness,60,
0,District,Middle,Pacific Islander,Culture/Climate,Climate of Support for Academic Learning,77,
0,District,Middle,Pacific Islander,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",66,
0,District,Middle,Pacific Islander,Culture/Climate,Safety,59,
0,District,Middle,Pacific Islander,Culture/Climate,Sense of Belonging (School Connectedness),66,
0,District,Middle,Pacific Islander,Social-Emotional Learning,Growth Mindset,54,
0,District,Middle,Pacific Islander,Social-Emotional Learning,Self-Efficacy,52,
0,District,Middle,Pacific Islander,Social-Emotional Learning,Self-Management,63,
0,District,Middle,Pacific Islander,Social-Emotional Learning,Social Awareness,61,
0,District,Middle,SPED,Culture/Climate,Climate of Support for Academic Learning,68,
0,District,Middle,SPED,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",57,
0,District,Middle,SPED,Culture/Climate,Safety,56,
0,District,Middle,SPED,Culture/Climate,Sense of Belonging (School Connectedness),58,
0,District,Middle,SPED,Social-Emotional Learning,Growth Mindset,46,
0,District,Middle,SPED,Social-Emotional Learning,Self-Efficacy,43,
0,District,Middle,SPED,Social-Emotional Learning,Self-Management,63,
0,District,Middle,SPED,Social-Emotional Learning,Social Awareness,54,
0,District,Middle,Two or More Races,Culture/Climate,Climate of Support for Academic Learning,69,
0,District,Middle,Two or More Races,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",59,
0,District,Middle,Two or More Races,Culture/Climate,Safety,57,
0,District,Middle,Two or More Races,Culture/Climate,Sense of Belonging (School Connectedness),62,
0,District,Middle,Two or More Races,Social-Emotional Learning,Growth Mindset,70,
0,District,Middle,Two or More Races,Social-Emotional Learning,Self-Efficacy,64,
0,District,Middle,Two or More Races,Social-Emotional Learning,Self-Management,78,
0,District,Middle,Two or More Races,Social-Emotional Learning,Social Awareness,67,
0,District,Middle,White,Culture/Climate,Climate of Support for Academic Learning,69,
0,District,Middle,White,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",59,
0,District,Middle,White,Culture/Climate,Safety,58,
0,District,Middle,White,Culture/Climate,Sense of Belonging (School Connectedness),65,
0,District,Middle,White,Social-Emotional Learning,Growth Mindset,76,
0,District,Middle,White,Social-Emotional Learning,Self-Efficacy,71,
0,District,Middle,White,Social-Emotional Learning,Self-Management,83,
0,District,Middle,White,Social-Emotional Learning,Social Awareness,70,
404,Giannini MS,Middle,African American,Culture/Climate,Climate of Support for Academic Learning,67,26
404,Giannini MS,Middle,African American,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",51,26
404,Giannini MS,Middle,African American,Culture/Climate,Safety,61,26
404,Giannini MS,Middle,African American,Culture/Climate,Sense of Belonging (School Connectedness),55,26
404,Giannini MS,Middle,African American,Social-Emotional Learning,Growth Mindset,64,26
404,Giannini MS,Middle,African American,Social-Emotional Learning,Self-Efficacy,34,26
404,Giannini MS,Middle,African American,Social-Emotional Learning,Self-Management,64,26
404,Giannini MS,Middle,African American,Social-Emotional Learning,Social Awareness,60,26
404,Giannini MS,Middle,Asian,Culture/Climate,Climate of Support for Academic Learning,75,669
404,Giannini MS,Middle,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",67,669
404,Giannini MS,Middle,Asian,Culture/Climate,Safety,63,669
404,Giannini MS,Middle,Asian,Culture/Climate,Sense of Belonging (School Connectedness),65,669
404,Giannini MS,Middle,Asian,Social-Emotional Learning,Growth Mindset,65,669
404,Giannini MS,Middle,Asian,Social-Emotional Learning,Self-Efficacy,60,669
404,Giannini MS,Middle,Asian,Social-Emotional Learning,Self-Management,84,669
404,Giannini MS,Middle,Asian,Social-Emotional Learning,Social Awareness,64,669
404,Giannini MS,Middle,Decline to State,Culture/Climate,Climate of Support for Academic Learning,70,52
404,Giannini MS,Middle,Decline to State,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",68,52
404,Giannini MS,Middle,Decline to State,Culture/Climate,Safety,68,52
404,Giannini MS,Middle,Decline to State,Culture/Climate,Sense of Belonging (School Connectedness),69,52
404,Giannini MS,Middle,Decline to State,Social-Emotional Learning,Growth Mindset,72,52
404,Giannini MS,Middle,Decline to State,Social-Emotional Learning,Self-Efficacy,63,52
404,Giannini MS,Middle,Decline to State,Social-Emotional Learning,Self-Management,86,52
404,Giannini MS,Middle,Decline to State,Social-Emotional Learning,Social Awareness,70,52
404,Giannini MS,Middle,ELL,Culture/Climate,Climate of Support for Academic Learning,82,32
404,Giannini MS,Middle,ELL,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",68,32
404,Giannini MS,Middle,ELL,Culture/Climate,Safety,49,32
404,Giannini MS,Middle,ELL,Culture/Climate,Sense of Belonging (School Connectedness),64,32
404,Giannini MS,Middle,ELL,Social-Emotional Learning,Growth Mindset,42,32
404,Giannini MS,Middle,ELL,Social-Emotional Learning,Self-Efficacy,32,32
404,Giannini MS,Middle,ELL,Social-Emotional Learning,Self-Management,66,32
404,Giannini MS,Middle,ELL,Social-Emotional Learning,Social Awareness,57,32
404,Giannini MS,Middle,Filipino,Culture/Climate,Climate of Support for Academic Learning,80,27
404,Giannini MS,Middle,Filipino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",67,27
404,Giannini MS,Middle,Filipino,Culture/Climate,Safety,68,27
404,Giannini MS,Middle,Filipino,Culture/Climate,Sense of Belonging (School Connectedness),67,27
404,Giannini MS,Middle,Filipino,Social-Emotional Learning,Growth Mindset,70,27
404,Giannini MS,Middle,Filipino,Social-Emotional Learning,Self-Efficacy,67,27
404,Giannini MS,Middle,Filipino,Social-Emotional Learning,Self-Management,81,27
404,Giannini MS,Middle,Filipino,Social-Emotional Learning,Social Awareness,72,27
404,Giannini MS,Middle,Hispanic/Latino,Culture/Climate,Climate of Support for Academic Learning,76,66
404,Giannini MS,Middle,Hispanic/Latino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",60,66
404,Giannini MS,Middle,Hispanic/Latino,Culture/Climate,Safety,62,66
404,Giannini MS,Middle,Hispanic/Latino,Culture/Climate,Sense of Belonging (School Connectedness),64,66
404,Giannini MS,Middle,Hispanic/Latino,Social-Emotional Learning,Growth Mindset,60,66
404,Giannini MS,Middle,Hispanic/Latino,Social-Emotional Learning,Self-Efficacy,40,66
404,Giannini MS,Middle,Hispanic/Latino,Social-Emotional Learning,Self-Management,70,66
404,Giannini MS,Middle,Hispanic/Latino,Social-Emotional Learning,Social Awareness,65,66
404,Giannini MS,Middle,Low SES,Culture/Climate,Climate of Support for Academic Learning,75,372
404,Giannini MS,Middle,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",65,372
404,Giannini MS,Middle,Low SES,Culture/Climate,Safety,63,372
404,Giannini MS,Middle,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),64,372
404,Giannini MS,Middle,Low SES,Social-Emotional Learning,Growth Mindset,61,372
404,Giannini MS,Middle,Low SES,Social-Emotional Learning,Self-Efficacy,52,372
404,Giannini MS,Middle,Low SES,Social-Emotional Learning,Self-Management,79,372
404,Giannini MS,Middle,Low SES,Social-Emotional Learning,Social Awareness,64,372
404,Giannini MS,Middle,School,Culture/Climate,Climate of Support for Academic Learning,75,
